,MOC_139
2015-07-31,355
2015-08-31,8025
2015-09-30,4263
2015-10-31,1870
2015-11-30,1907
2015-12-31,5500
2016-01-31,2676
2016-02-29,4293
2016-03-31,4299
2016-04-30,3806
2016-05-31,1988
2016-06-30,1905
2016-07-31,1593
2016-08-31,1268
2016-09-30,2196
2016-10-31,3236
2016-11-30,2636
2016-12-31,3618
2017-01-31,2903
2017-02-28,2541
2017-03-31,6657
2017-04-30,2315
2017-05-31,2264
2017-06-30,1123
2017-07-31,1749
2017-08-31,2185
2017-09-30,1778
2017-10-31,5437
2017-11-30,4555
2017-12-31,2597
2018-01-31,7075
2018-02-28,5272
2018-03-31,4530
2018-04-30,7226
2018-05-31,3107
2018-06-30,6863
2018-07-31,3674
2018-08-31,2731
2018-09-30,4476
2018-10-31,7958
2018-11-30,20651
2018-12-31,22967
2019-01-31,5751
2019-02-28,5769
2019-03-31,10852
2019-04-30,7429
2019-05-31,5732
2019-06-30,8983
2019-07-31,8761
2019-08-31,5826
2019-09-30,10821
2019-10-31,9895
2019-11-30,10789
2019-12-31,13918
2020-01-31,13504
2020-02-29,8485
2020-03-31,8352
2020-04-30,37491
2020-05-31,2624
2020-06-30,197
2020-07-31,346
2020-08-31,16
2020-09-30,1960
2020-10-31,107
2020-11-30,88
2020-12-31,181
2021-01-31,663
2021-02-28,1997
2021-03-31,1595
2021-04-30,3925
2021-05-31,99
2021-06-30,168
2021-07-31,9187
2021-08-31,1417
2021-09-30,1062
2021-10-31,923
2021-11-30,6011
2021-12-31,5199
2022-01-31,9500
2022-02-28,11469
2022-03-31,32478
2022-04-30,1121
2022-05-31,4580
2022-06-30,13154
2022-07-31,7614
2022-08-31,8167
2022-09-30,11068
2022-10-31,9327
2022-11-30,8876
2022-12-31,13168
2023-01-31,19431
2023-02-28,11484
2023-03-31,35269
2023-04-30,22287
2023-05-31,17196
2023-06-30,24703
2023-07-31,18398
2023-08-31,13982
2023-09-30,21642
2023-10-31,22264
2023-11-30,32367
2023-12-31,38274
2024-01-31,21374
2024-02-29,13781
2024-03-31,42323
2024-04-30,26744
2024-05-31,20635
2024-06-30,27174
2024-07-31,21158
2024-08-31,17478
2024-09-30,27052
2024-10-31,27830
2024-11-30,40459
2024-12-31,45929
