,DATA_188
2015-07-31,30
2015-08-31,81
2015-09-30,271
2015-10-31,528
2015-11-30,3
2015-12-31,27
2016-01-31,6
2016-02-29,322
2016-03-31,14
2016-04-30,1
2016-05-31,400
2016-06-30,20
2016-07-31,261
2016-08-31,3
2016-09-30,244
2016-10-31,298
2016-11-30,35
2016-12-31,0
2017-01-31,9
2017-02-28,0
2017-03-31,101
2017-04-30,12
2017-05-31,205
2017-06-30,127
2017-07-31,303
2017-08-31,642
2017-09-30,667
2017-10-31,305
2017-11-30,1113
2017-12-31,160
2018-01-31,82
2018-02-28,95
2018-03-31,400
2018-04-30,875
2018-05-31,714
2018-06-30,1584
2018-07-31,2188
2018-08-31,1305
2018-09-30,2007
2018-10-31,3091
2018-11-30,6
2018-12-31,194
2019-01-31,8
2019-02-28,648
2019-03-31,585
2019-04-30,557
2019-05-31,1478
2019-06-30,210
2019-07-31,163
2019-08-31,808
2019-09-30,2671
2019-10-31,3712
2019-11-30,968
2019-12-31,130
2020-01-31,723
2020-02-29,534
2020-03-31,173
2020-04-30,1
2020-05-31,10
2020-06-30,224
2020-07-31,0
2020-08-31,0
2020-09-30,1587
2020-10-31,4611
2020-11-30,53
2020-12-31,1765
2021-01-31,2
2021-02-28,1
2021-03-31,46
2021-04-30,62
2021-05-31,0
2021-06-30,0
2021-07-31,63
2021-08-31,105
2021-09-30,21
2021-10-31,227
2021-11-30,98
2021-12-31,409
2022-01-31,72
2022-02-28,1
2022-03-31,93
2022-04-30,197
2022-05-31,367
2022-06-30,1025
2022-07-31,392
2022-08-31,2540
2022-09-30,2474
2022-10-31,2941
2022-11-30,392
2022-12-31,228
2023-01-31,298
2023-02-28,1243
2023-03-31,1901
2023-04-30,1671
2023-05-31,4434
2023-06-30,578
2023-07-31,342
2023-08-31,1939
2023-09-30,5342
2023-10-31,8352
2023-11-30,2904
2023-12-31,358
2024-01-31,328
2024-02-29,1492
2024-03-31,2282
2024-04-30,2005
2024-05-31,5321
2024-06-30,635
2024-07-31,394
2024-08-31,2424
2024-09-30,6678
2024-10-31,10440
2024-11-30,3630
2024-12-31,429
